33 256,33186,29036
gāha 3,gāh,a m
gāha 4,gāh,a m
gahādi,gahād,iṃ nt
gahādigaṇa,gahādigaṇ,a m
gāhaka,gāhak,a m
gahakāra,gahakār,a m
gahakāraka,gahakārak,a m
gahakūṭa,gahakūṭ,aṃ nt
gāhana,gāhan,aṃ nt
gahana 1,gahan,a adj
gahana 2,gahan,aṃ nt
gahaṇa 1,gahaṇ,aṃ nt
gahaṇa 2,gahaṇ,aṃ nt
gahaṇa 3,gahaṇ,aṃ nt
gahanacchannatā,gahanacchannat,ā f
gahananissita,gahananissit,a adj
gahaṇattha,gahaṇatth,a m
gahanaṭṭhāna,gahanaṭṭhān,aṃ nt
gahaṇī,gahaṇ,ī f
gahaṇika,gahaṇik,a adj
gāhāpaka,gāhāpak,a adj
gahapatānī,gahapatān,ī f
gahapati,gahapat,i m
gahapatika,gahapatik,a m
gahapatimahāsala,gahapatimahāsal,a m
gahapatiparisā,gahapatiparis,ā f
gahapatiputta,gahapatiputt,a m
gahapatiratana,gahapatiratan,aṃ nt
gāhāpenta,gāhāp,enta prp
gāhāpeti,gāhāp,eti pr
gāhāpetvā,ind,
gāhāpita 1,gāhāpit,a pp
gāhāpita 2,gāhāpit,a pp
gāhāsesi,gāhās,esi aor
gahati,gah,ati pr
gahaṭṭha,gahaṭṭh,a m
gahaṭṭhāna,gahaṭṭhān,aṃ nt
gahāyanta,gahāy,anta prp
gāhayati,gāhay,ati pr
gahessati,gahe,ssati fut
gahetabba,gahetabb,a ptp
gāheti,gāh,eti pr
gahetuṃ,ind,
gāhetvā,ind,
gahetvā 1,ind,
gahetvā 2,ind,
gahetvā 3,ind,
gahetvāna,ind,
gāhī 1,gāh,ī adj
gāhī 2,gāh,ī adj
gāhita,gāhit,a pp
gahita 1,gahit,a pp
gahita 2,gahit,aṃ nt
gahitabhāva,gahitabhāv,a m
gāhiya,ind,
gaja,gaj,a m
gajakumbha,gajakumbh,a m
gajapotaka,gajapotak,a m
gajjamāna,gajj,amāna prp
gajjanā,gajjan,ā f
gajjanta,gajj,anta prp
gajjati,gajj,ati pr
gajji,gajj,i aor
gajjita,gajjit,a pp
gajjitu,gajjit,u3 m
gajjitvā,ind,
gala 1,gal,a adj
gala 2,gal,a m
gaḷagaḷāyanta,gaḷagaḷāy,anta prp
gaḷagaḷāyati,gaḷagaḷāy,ati pr
gaḷagaḷāyi,gaḷagaḷāy,i aor
galaggāha,galaggāh,a m
galamāna,gal,amāna prp
galanāḷi,galanāḷ,i f
galanta,gal,anta prp
gaḷanta,gaḷ,anta prp
galappamāṇa,galappamāṇ,a adj
galati,gal,ati pr
galavāṭaka,galavāṭak,a m
gāḷha,gāḷh,a adj
gāḷhaṃ,ind,
gāḷhūpalepana,gāḷhūpalepan,a adj
gali,gal,i aor
galita,galit,a pp
galitvā,ind,
gaḷocī,gaḷoc,ī f
gama,gam,a adj
gāma 1,gām,a m
agāmaka,agāmak,a adj
gāma 2,gām,a m
gāmabandhana,gāmabandhan,aṃ nt
gāmabhojaka,gāmabhojak,a m
gāmadāraka,gāmadārak,a m
gāmadārakā,gāmadārak,a m
gāmadārikā,gāmadārik,ā f
gāmadhamma,gāmadhamm,a m
gāmadvāra,gāmadvār,aṃ nt
gāmagata,gāmagat,a adj
gāmaghāta,gāmaghāt,a m
gāmaghātaka,gāmaghātak,a m
gāmajana,gāmajan,a m
gāmajeṭṭha,gāmajeṭṭh,a m
gāmaka,gāmak,a m
gāmakathā,gāmakath,ā f
gāmamajjhe,ind,
gamana 1,gaman,a adj
gamana 2,gaman,aṃ nt
gamana 3,gaman,aṃ nt
gamanāgamana,gamanāgaman,aṃ nt
gamanakāraṇa,gamanakāraṇ,aṃ nt
gamanamagga,gamanamagg,a m
gamanantarāya,gamanantarāy,a m
gamanāya,gaman,aṃ nt
gāmaṇḍala,gāmaṇḍal,aṃ nt
gāmaṇi,gāmaṇ,i m
gāmaṇī,gāmaṇ,ī m
gāmanigamarājadhānī,gāmanigamarājadhān,ī f
gamanīya 1,gamanīy,a adj
gamanīya 2,gamanīy,a ptp
gāmanta,gāmant,a m
gāmantanāyaka,gāmantanāyak,a m
gāmantara,gāmantar,aṃ nt
gāmasīmā,gāmasīm,ā f
gāmato,gām,a m
gamaṭṭhāna,gamaṭṭhān,aṃ nt
gāmavāsī,gāmavās,ī m
gambhīra 1,gambhīr,a adj
gambhīra 2,gambhīr,a adj
gambhīra 3,gambhīr,a adj
gambhīra 4,gambhīr,aṃ nt
gambhīrapañña,gambhīrapaññ,a adj
gambhīratā,gambhīrat,ā f
gambhīrattha,gambhīratth,a adj
gambhīrāvabhāsa,gambhīrāvabhās,a adj
gamesi,gam,esi aor
gameti 1,gam,eti pr
gameti 2,gam,eti pr
gami,gam,i aor
gāmī 1,gām,ī adj
gāmī 2,gām,ī adj
gāmī 3,gām,ī adj
gāmika,gāmik,a m
gamika 1,gamik,a adj
gamika 2,gamik,a m
gamikavatta,gamikavatt,aṃ nt
gāminī,gāmin,ī adj
gamissati,gam,issati fut
gamma 1,gamm,a adj
gamma 2,gamm,a ptp
gamu,gam,u1 m
gāmūpacāra,gāmūpacār,a m
gāna,gān,aṃ nt
gaṇa 1,gaṇ,a m
gaṇa 2,gaṇ,a m
gaṇa 3,gaṇ,a m
gaṇa 4,gaṇ,a m
gaṇabandhana,gaṇabandhan,aṃ nt
gaṇabhojana,gaṇabhojan,aṃ nt
gaṇācariya,gaṇācariy,a m
gaṇaka,gaṇak,a m
gaṇamanusāsitumarahati,ind,
gaṇanā,gaṇan,ā f
gaṇanājīva,gaṇanājīv,a adj
gaṇanapathātīta,gaṇanapathātīt,a adj
gaṇāpeti,gaṇāp,eti pr
gaṇapūraka,gaṇapūrak,a adj
gaṇapūraṇa,gaṇapūraṇ,aṃ nt
gaṇārāmatā,gaṇārāmat,ā f
ganasa,ganas,a m
gaṇasaṅgaṇikā,gaṇasaṅgaṇik,ā f
gaṇato,gaṇ,a m
gaṇayanta,gaṇay,anta prp
gaṇḍa,gaṇḍ,a m
gaṇḍaka,gaṇḍak,a m
gaṇḍato,ind,
gandha 1,gandh,a m
gandha 2,gandh,a m
gandhabba 1,gandhabb,a m
gandhabba 2,gandhabb,a m
gandhabba 3,gandhabb,a m
gandhacuṇṇa,gandhacuṇṇ,aṃ nt
gandhajāta,gandhajāt,aṃ nt
gandhakathā,gandhakath,ā f
gandhakuraṇḍaka,,
gandhakuṭi,gandhakuṭ,i f
gandhamādana,gandhamādan,a m
gandhāpaṇa,gandhāpaṇ,a m
gandhapañcaṅgulika,gandhapañcaṅgulik,aṃ nt
gandhāra,gandhār,a m
gandhārī,gandhār,ī f
gandhasampanna,gandhasampann,a adj
gandhasañcetanā,gandhasañcetan,ā f
gandhasaññā,gandhasaññ,ā f
gandhasāra,gandhasār,a m
gandhataṇhā,gandhataṇh,ā f
gandhatela,gandhatel,aṃ nt
gandhāyatana,gandhāyatan,aṃ nt
gandhī,gandh,ī adj
gandhika,gandhik,a adj
gandhodaka,gandhodak,aṃ nt
gaṇḍī,gaṇḍ,ī f
gaṇḍikā,gaṇḍik,ā f
gandjāta,gandjāt,aṃ nt
gaṇḍuppāda,gaṇḍuppād,a m
gaṇḍūsa,gaṇḍūs,a m
gaṇenta,gaṇ,enta prp
gaṇesi,gaṇ,esi aor
gaṇetabba,gaṇetabb,a ptp
gaṇeti,gaṇ,eti pr
gaṇetvā,ind,
gaṅgā,gaṅg,ā f
gaṅgādhāra,gaṅgādhār,a m
gaṅgādvāra,gaṅgādvār,aṃ nt
gaṅgāpāra,gaṅgāpār,aṃ nt
gaṅgāsota,gaṅgāsot,a m
gaṅgātīra,gaṅgātīr,aṃ nt
gaṅgeyya,gaṅgeyy,a adj
gaṇhanta,gaṇh,anta prp
gaṇhāpesi,gaṇhāp,esi aor
gaṇhāpeti,gaṇhāp,eti pr
gaṇhāpetvā,ind,
gaṇhāpita,gaṇhāpit,a pp
gaṇhati,gaṇh,ati pr
gaṇhāti 1,gaṇh,āti pr
gaṇhāti 2,gaṇh,āti pr
gaṇhāti 3,gaṇh,āti pr
gaṇhāti 4,gaṇh,āti pr
gaṇhi 1,gaṇh,i aor
gaṇhi 2,gaṇh,i aor
gaṇhituṃ,ind,
gaṇhitvā,ind,
gaṇhiya,ind,
gaṇī,gaṇ,ī m
gaṇikā,gaṇik,ā f
gaṇika 1,gaṇik,a adj
gaṇika 2,gaṇik,a adj
gaṇita,gaṇit,a pp
gantabba,gantabb,a ptp
gantha 1,ganth,a m
gantha 2,ganth,a m
ganthadhura,ganthadhur,aṃ nt
ganthakāra,ganthakār,a m
ganthana,ganthan,aṃ nt
ganthāpeti,ganthāp,eti pr
ganthappamocana,ganthappamocan,aṃ nt
ganthāvali,ganthāval,i f
ganthenta,ganth,enta prp
ganthesi,ganth,esi aor
gantheti,ganth,eti pr
ganthetvā,ind,
gaṇṭhi 1,gaṇṭh,i f
gaṇṭhi 2,gaṇṭh,i f
gaṇṭhikā,gaṇṭhik,ā f
gaṇṭhipada,gaṇṭhipad,aṃ nt
ganthita,ganthit,a pp
gaṇṭhiṭṭhāna,gaṇṭhiṭṭhān,aṃ nt
gantu,gant,u3 m
gantukāma,gantukām,a adj
gantuṃ,ind,
gantvā,ind,
garahā,garah,ā f
garahaka,garahak,a adj
garahamāna,garah,amāna prp
garahana,garahan,aṃ nt
garahanta,garah,anta prp
garahati,garah,ati pr
garahi,garah,i aor
garahī,garah,ī m
garahita,garahit,a pp
garahitabba,garahitabb,a ptp
garahitvā,ind,
garahiya,ind,
gārava,gārav,a m
gāravatā,gāravat,ā f
gārayha,gārayh,a adj
gārayhaṃ ṭhānaṃ āgacchati,ind,
garu 1,gar,u adj
garudhamma,garudhamm,a m
garu 2,gar,u adj
garu 3,gar,u adj
garu 4,gar,u1 m
garugabbhā,garugabbh,a adj
garuka 1,garuk,a adj
garuka 2,garuk,a adj
garukāra,garukār,a m
garukārahetu,ind,
garukari,garukar,i aor
garukaronta,garukar,onta prp
garukaroti,garukar,oti pr
garukata,garukat,a pp
garukātabba,garukātabb,a ptp
garuḷa,garuḷ,a m
garuṃ karoti,ind,
garutā 1,garut,ā f
garutā 2,garut,ā f
garutta 1,garutt,aṃ nt
garutta 2,garutt,aṃ nt
garuṭṭhāniya,garuṭṭhāniy,a adj
garuṭṭhānīya,garuṭṭhānīy,a adj
gasa,gas,a adj
gata 1,gat,a adj
gata 2,gat,a pp
gata 3,gat,a pp
gata 4,gat,aṃ nt
gatabhāva,gatabhāv,a m
gataddha,gataddh,a adj
gataddhī,gataddh,ī m
gatatta,gatatt,aṃ nt
gataṭṭhāna,gataṭṭhān,aṃ nt
gatayobbana,gatayobban,a adj
gatayobhana,gatayobhan,a adj
gātha,gāth,a m
gāthā 1,gāth,ā f
gāthā 2,gāth,ā f
gāthābhigīta,gāthābhigīt,a adj
gāthāpada,gāthāpad,a m
gāthāya ajjhabhāsi,ind,
gathita,gathit,a pp
gatī,gat,ī f
gati 1,gat,i f
gati 2,gat,i f
gati 3,gat,i f
gatimant,gatim,ant adj
gatta,gatt,aṃ nt
gava,irreg,go m
gavā,irreg,go m
gavaja,gavaj,a m
gavassa,gavass,aṃ nt
gavāssa,gavāss,aṃ nt
gavaya,gavay,a m
gavesaka,gavesak,a adj
gavesamāna,gaves,amāna prp
gavesana,gavesan,aṃ nt
gavesanā,gavesan,ā f
gavesanta,gaves,anta prp
gavesati,gaves,ati pr
gavesi,gav,esi aor
gavesī 1,gaves,ī adj
gavesī 2,gaves,ī m
gavesita,gavesit,a pp
gavesitvā,ind,
gavesiya,ind,
gāvī,gāv,ī f
gāvo,irreg,go m
gāvuta,gāvut,aṃ nt
gāvutika,gāvutik,a adj
gāyaka,gāyak,a m
gāyamāna,gāy,amāna prp
gāyana,gāyan,aṃ nt
gāyanta,gāy,anta prp
gāyati 1,gāy,ati pr
gāyati 2,gāy,ati pr
gayha 1,gayh,a adj
gayha 2,gayh,aṃ nt
gayhamāna,gayh,amāna prp
gayhati,gayh,ati pr
gayhi,gayh,i aor
gāyi,gāy,i aor
gāyikā,gāyik,ā f
gāyita,gāyit,a pp
gāyitvā,ind,
gedha,gedh,a m
gedhi,gedh,i m
gedhimakāsi,gedhimak,āsi aor
gedhita 1,gedhit,a pp
gedhita 2,gedhit,aṃ nt
gedhitacitta,gedhitacitt,a adj
geha,geh,aṃ nt
gehadvāra,gehadvār,aṃ nt
gehajana,gehajan,a m
gehaṅgana,gehaṅgan,aṃ nt
gehanissita,gehanissit,a adj
gehappavesana,gehappavesan,aṃ nt
gehasita,gehasit,a adj
gehaṭṭhāna,gehaṭṭhān,aṃ nt
gelañña,gelaññ,aṃ nt
geṇḍuka,geṇḍuk,a m
geruka,geruk,aṃ nt
gerukaparikamma,gerukaparikamm,aṃ nt
geyya 1,geyy,a adj
geyya 2,geyy,aṃ nt
ghaccā,ghacc,ā f
ghamma,ghamm,aṃ nt i
ghammābhibhūta,ghammābhibhūt,a adj
ghammābhitatta,ghammābhitatt,a adj
ghammajala,ghammajal,aṃ nt
ghammani,ghamm,aṃ nt i
ghammapareta,ghammaparet,a adj
ghaṃsesi,ghaṃs,esi aor
ghaṃseti,ghaṃs,eti pr
ghaṃsita,ghaṃsit,a pp
ghāna,ghān,aṃ nt
ghāṇa,ghāṇ,aṃ nt
ghana 1,ghan,a adj
ghana 2,ghan,a m
ghana 3,ghan,aṃ nt
ghanakata,ghanakat,a adj
ghanapuppha,ghanapupph,aṃ nt
ghānasamphassa,ghānasamphass,a m
ghānasamphassaja,ghānasamphassaj,a adj
ghānasamphassapaccayā,ind,
ghanasāra,ghanasār,a m
ghanatama,ghanatam,a adj
ghanaviññāṇa,ghanaviññāṇ,aṃ nt
ghānaviññāṇa,ghānaviññāṇ,aṃ nt
ghānaviññāṇaviññātabba,ghānaviññāṇaviññātabb,a adj
ghānaviññeyya,ghānaviññeyy,a adj
ghānāyatana,ghānāyatan,aṃ nt
ghānindriya,ghānindriy,aṃ nt
ghāṇindriya,ghāṇindriy,aṃ nt
ghanopala,ghanopal,aṃ nt
ghaṇṭā,ghaṇṭ,ā f
ghara,ghar,aṃ nt
gharabandhana 1,gharabandhan,aṃ nt
gharabandhana 2,gharabandhan,aṃ nt
gharadvāra,gharadvār,aṃ nt
gharagoḷikā,gharagoḷik,ā f
gharājira,gharājir,aṃ nt
gharamānusa,gharamānus,a m
gharaṇī,gharaṇ,ī f
gharasappa,gharasapp,a m
gharāvāsa,gharāvās,a m
gharūpacāra,gharūpacār,a m
ghasa,ghas,a adj
ghāsa,ghās,a m
ghāsacchāda,ghāsacchād,a m
ghāsacchādana,ghāsacchādan,aṃ nt
ghāsahāraka,ghāsahārak,a adj
ghasamāna,ghas,amāna prp
ghasanta,ghas,anta prp
ghasati,ghas,ati pr
ghāsesana,ghāsesan,a adj
ghasi,ghas,i aor
ghasitvā,ind,
ghata,ghat,aṃ nt
ghaṭā,ghaṭ,ā f
ghaṭa 1,ghaṭ,a m
ghaṭa 2,ghaṭ,a m
ghāta 1,ghāt,a m
ghāta 2,ghāt,a m
ghaṭaka,ghaṭak,a m
ghātaka,ghātak,a m
ghaṭamāna,ghaṭ,amāna prp
ghaṭana,ghaṭan,aṃ nt
ghaṭanā,ghaṭan,ā f
ghātana,ghātan,aṃ nt
ghaṭanta,ghaṭ,anta prp
ghātāpeti,ghātāp,eti pr
ghatasitta,ghatasitt,a adj
ghaṭati,ghaṭ,ati pr
ghātayati,ghātay,ati pr
ghaṭenta,ghaṭ,enta prp
ghātenta,ghāt,enta prp
ghaṭesi,ghaṭ,esi aor
ghātesi,ghāt,esi aor
ghātetabba,ghātetabb,a ptp
ghaṭeti,ghaṭ,eti pr
ghāteti,ghāt,eti pr
ghātetu,ghātet,u3 m
ghaṭetvā,ind,
ghātetvā,ind,
ghaṭi,ghaṭ,i aor
ghaṭī,ghaṭ,ī f
ghātī,ghāt,ī m
ghaṭikā 1,ghaṭik,ā f
ghaṭikā 2,ghaṭik,ā f
ghaṭīkāra,ghaṭīkār,a m
ghaṭikāyanta,ghaṭikāyant,aṃ nt
ghaṭita 1,ghaṭit,a pp
ghaṭita 2,ghaṭit,a pp
ghaṭita 3,ghaṭit,a pp
ghātiya,ind,
ghaṭīyanta,ghaṭīyant,aṃ nt
ghaṭīyati,ghaṭīy,ati pr
ghaṭīyi,ghaṭīy,i aor
ghaṭṭana,ghaṭṭan,aṃ nt
ghaṭṭa,ghaṭṭ,a adj
asīsaghaṭṭa,asīsaghaṭṭ,a adj
sīsaghaṭṭa,sīsaghaṭṭ,a adj
ghaṭṭayanta,ghaṭṭay,anta prp
ghaṭṭayati,ghaṭṭay,ati pr
ghaṭṭenta,ghaṭṭ,enta prp
ghaṭṭesi,ghaṭṭ,esi aor
ghaṭṭeti,ghaṭṭ,eti pr
ghaṭṭetvā,ind,
ghaṭṭita 1,ghaṭṭit,a pp
ghaṭṭita 2,ghaṭṭit,a pp
ghatvā,ind,
ghāyamāna,ghāy,amāna prp
ghāyanta,ghāy,anta prp
ghāyati,ghāy,ati pr
ghāyeyya,ghāyeyy,a ptp
ghāyi,ghāy,i aor
ghāyita,ghāyit,a pp
ghāyitvā,ind,
ghora,ghor,a adj
ghoratara,ghoratar,a adj
ghoravisa,ghoravis,a adj
ghosa 1,ghos,a m
ghosa 2,ghos,a m
ghosa 3,ghos,a m
ghosa 4,ghos,a adj
ghosaka,ghosak,a m
ghosanā,ghosan,ā f
ghosāpeti,ghosāp,eti pr
ghosappamāṇa,ghosappamāṇ,a adj
ghosappasanna,ghosappasann,a adj
ghosatthanitābhigajjī,ghosatthanitābhigajj,ī adj
ghosenta,ghos,enta prp
ghosesi,ghos,esi aor
ghoseti,ghos,eti pr
ghosetvā,ind,
ghosita,ghosit,a adj
ghoṭaka,ghoṭak,a m
ghuṭṭha,ghuṭṭh,a pp
giddha,giddh,a adj
giddhi,giddh,i f
giddhī,giddh,ī adj
gihī,gih,ī m
gihībandhana,gihībandhan,aṃ nt
gihībhoga,gihībhog,a m
gihiparisā,gihiparis,ā f
gihippaṭisaṃyutta,gihippaṭisaṃyutt,a adj
gihisamārambha,gihisamārambh,a m
gīhīsaṃsagga,gīhīsaṃsagg,a m
gīhīvyañjana,gīhīvyañjan,aṃ nt
gijjha,gijjh,a m
gijjhakūṭa,gijjhakūṭ,a m
gijjhamāna,gijjh,amāna prp
gijjhati,gijjh,ati pr
gijjhi,gijjh,i aor
gilana,gilan,aṃ nt
gilāna 1,gilān,a adj
gilāna 2,gilān,a m
gilāna 3,gilān,aṃ nt
gilānātiritta,gilānātiritt,aṃ nt
gilānabhatta,gilānabhatt,aṃ nt
gilānaka 1,gilānak,a adj
gilānaka 2,gilānak,a m
gilānālaya,gilānālay,a m
gilānappaccaya,gilānappaccay,a m
gilānapucchaka,gilānapucchak,a adj
gilānasālā,gilānasāl,ā f
gilānasamaya,gilānasamay,a m
gilanta,gil,anta prp
gilānupuṭṭhāka,gilānupuṭṭhāk,a m
gilānupuṭṭhāna,gilānupuṭṭhān,aṃ nt
gilati,gil,ati pr
gili,gil,i aor
gilita,gilit,a pp
gilitvā,ind,
gimhā,gimh,a m
gimha 1,gimh,a m
gimha 2,gimh,a m
gimhānaṃ pacchime māse,ind,
gimhānamāsa,gimhānamās,a m
gimhi,gimh,i m
gimhika,gimhik,a adj
gini,gin,i m
giñjakā,giñjak,ā f
giñjakāvasatha,giñjakāvasath,a m
girā,gir,ā f
giri,gir,i m
giribbaja 1,giribbaj,aṃ nt
giribbaja 2,giribbaj,aṃ nt
girigabbhara,girigabbhar,aṃ nt
giriguhā,giriguh,ā f
girikaṇṇikā,girikaṇṇik,ā f
girirājā,giri,rājā m
girisikhara,girisikhar,aṃ nt
gīta 1,gīt,aṃ nt
gīta 2,gīt,a pp
gītarava,gītarav,a m
gītasadda,gītasadd,a m
gītavādita,gītavādit,aṃ nt
gītikā,gītik,ā f
gīvā,gīv,ā f
gīveyyaka,gīveyyak,aṃ nt
gīvūpaga,gīvūpag,a adj
go,irreg,go m
gocara 1,gocar,a m
gocara 2,gocar,a m
gocara 3,gocar,a m
gocaragāma,gocaragām,a m
gocarapasuta,gocarapasut,a adj
gocaravisaya 1,gocaravisay,a m
gocaravisaya 2,gocaravisay,a m
gocariya,gocariy,a adj
gocchaka,gocchak,a m
godamaka,godamak,a m
godamma,godamm,a m
godhā,godh,ā f
godhāvarī,godhāvar,ī f
godhuma,godhum,a m
gogaṇa,gogaṇ,a m
goghātaka,goghātak,a m
goghātakantevāsī,goghātakantevās,ī m
gokaṇṇa,gokaṇṇ,a m
gokaṇṭaka 1,gokaṇṭak,aṃ nt
gokaṇṭaka 2,gokaṇṭak,aṃ nt
gokaṇṭakahata,gokaṇṭakahat,a adj
gokula,gokul,aṃ nt
goḷa,goḷ,a m
goḷaka,goḷak,a m
golomī,golom,ī f
gomagga,gomagg,a m
gomaya,gomay,aṃ nt
gomī,gom,ī m
gomika,gomik,a adj
gomutta,gomutt,aṃ nt
goṇa,goṇ,a m
gonaka,gonak,a m
goṇaka,goṇak,a m
gonakatthata,gonakatthat,a adj
gonasa,gonas,a m
gonisādiniviṭṭha,gonisādiniviṭṭh,a adj
gopa,gop,a m
gopada,gopad,aṃ nt
gopaka,gopak,a m
gopakhuma,gopakhum,a adj
gopāla,gopāl,a m
gopālaka,gopālak,a m
gopana,gopan,aṃ nt
gopanā,gopan,ā f
gopānasī,gopānas,ī f
gopānasīvaṅka,gopānasīvaṅk,a adj
gopenta,gop,enta prp
gopesi,gop,esi aor
gopetabba,gopetabb,a ptp
gopeti,gop,eti pr
gopetu,gopet,u3 m
gopetvā,ind,
gopī,gop,ī f
gopita,gopit,a pp
gopītakaṃ,ind,
gopiya,ind,
gopphaka,gopphak,aṃ nt
gopphakamatta,gopphakamatt,a adj
gopura,gopur,aṃ nt
gorakkhā,gorakkh,ā f
gosamita,gosamit,a adj
gosappi,gosapp,iṃ nt
gosīsa,gosīs,a m
gotama,gotam,a adj
gotamasāsana,gotamasāsan,aṃ nt
gotamasāvaka,gotamasāvak,a m
gotamī,gotam,ī f
gotrabhū,gotrabh,ū adj
gotta,gott,aṃ nt
gottalesa,gottales,a m
gottatthaddha,gottatthaddh,a adj
goṭṭha,goṭṭh,aṃ nt
govikantana,govikantan,aṃ nt
govinda,govind,a m
goyūtha,goyūth,a m
gū 1,g,ū m
gū 2,g,ū m
guda,gud,aṃ nt
guggulu,guggul,u1 m
guha,guh,a m
guhā,guh,ā f
guhāgehagata,guhāgehagat,a adj
gūhamāna,gūh,amāna prp
gūhana,gūhan,aṃ nt
guhāsaya,guhāsay,a adj
gūhati,gūh,ati pr
gūhi,gūh,i aor
gūhita,gūhit,a pp
gūhitvā,ind,
guḷā,guḷ,ā f
guḷa 1,guḷ,a m
guḷa 2,guḷ,a m
guḷa 3,guḷ,aṃ nt
guḷakīḷā,guḷakīḷ,ā f
gūḷha,gūḷh,a pp
guḷikā,guḷik,ā f
gumba 1,gumb,a m
gumba 2,gumb,a m
gumbantara,gumbantar,aṃ nt
guṇa 1,guṇ,a m
guṇa 2,guṇ,a m
guṇa 3,guṇ,a m
guṇa 4,guṇ,a m
guṇagaṇa,guṇagaṇ,a m
guṇahīna,guṇahīn,a adj
guṇakathā,guṇakath,ā f
guṇakittana,guṇakittan,aṃ nt
guṇaṇūpeta,guṇaṇūpet,a adj
guṇavantu,guṇav,antu m
gundā,gund,ā f
guṇī,guṇ,ī adj
guñjā,guñj,ā f
gunnaṃ 1,irreg,go m
gunnaṃ 2,irreg,go m
guṇṭhesi,guṇṭh,esi aor
guṇṭheti,guṇṭh,eti pr
guṇṭhikā,guṇṭhik,ā f
guṇṭhita,guṇṭhit,a pp
guru,gur,u1 m
gurudakkhiṇā,gurudakkhiṇ,ā f
guruvāsa,guruvās,a m
gūtha,gūth,aṃ nt
gūthabhakkha,gūthabhakkh,a adj
gūthabhāṇī,gūthabhāṇ,ī m
gūthagata 1,gūthagat,a adj
gūthagata 2,gūthagat,a m
gūthakaṭāha,gūthakaṭāh,a m
gūthakūpa,gūthakūp,a m
gūthapāṇaka,gūthapāṇak,a m
gūthaṭṭhāna,gūthaṭṭhān,aṃ nt
gutta,gutt,a pp
guttadvāra,guttadvār,a adj
guttadvāratā,guttadvārat,ā f
gutti,gutt,i f
guttika,guttik,a m
guttindriya,guttindriy,a adj
guyha 1,guyh,a adj
guyha 2,guyh,aṃ nt
guyhabhaṇḍaka,guyhabhaṇḍak,aṃ nt
ha,h,a m
hā 1,ind,
hā 2,h,ā root
habya,haby,aṃ nt
habyasesa,habyases,a m
hacca,hacc,aṃ nt
hadati,had,ati pr
hadaya,haday,aṃ nt
hadayamaṃsa,hadayamaṃs,aṃ nt
hadayaṅgama,hadayaṅgam,a adj
hadayanissita,hadayanissit,a adj
hadayasantāpa,hadayasantāp,a m
hadayassita,hadayassit,a adj
hadayavatthu,hadayavatth,uṃ nt
hakāra,hakār,a m
hala,hal,aṃ nt
halāhana,halāhan,aṃ nt
halaṃ,ind,
haliddā,halidd,ā f
haliddi,halidd,i f
haliddī,halidd,ī f
hambho,,
hammiya,hammiy,aṃ nt
haṃsa,haṃs,a m
haṃsana,haṃsan,aṃ nt
haṃsapotaka,haṃsapotak,a m
haṃsati,haṃs,ati pr
haṃseti,haṃs,eti pr
haṃsi,haṃs,i aor
haṃsī,haṃs,ī f
hānabhāgiya,hānabhāgiy,a adj
hanamāna,han,amāna prp
hanana,hanan,aṃ nt
hānanda,ind,
hananta,han,anta prp
hanati 1,irreg,han pr
hanati 2,irreg,han pr
handa,ind,
handa dāni,ind,
handāhaṃ,ind,
hani,han,i aor
hāni,hān,i f
hanitabba,hanitabb,a ptp
hanituṃ,ind,
hanitvā,ind,
haññadatthatthipasaṃsalābhā,ind,
haññamāna 1,haññ,amāna prp
haññamāna 2,haññ,amāna prp
haññana,haññan,aṃ nt
haññati 1,haññ,ati pr
haññati 2,haññ,ati pr
haññe,haññ,eyya opt
haññi,haññ,i aor
hantabba,hantabb,a ptp
hanti 1,-,han pr
hanti 2,-,han pr
hantu,hant,u3 m
hantuṃ,ind,
hantvā,ind,
hanu,han,u1 f
hanukā,hanuk,ā f
hanuta,hanut,aṃ nt
hāpaka,hāpak,a adj
hāpana,hāpan,aṃ nt
hāpayati,hāpay,ati pr
hāpenta,hāp,enta prp
hāpesi,hāp,esi aor
hāpeti,hāp,eti pr
hāpetvā,ind,
hāpita,hāpit,a pp
hara 1,har,a m
hara 2,,
hara 3,har,a m
hāra 1,hār,a adj
hāra 2,hār,a m
hārahārī,hārahār,ī adj
hāraka 1,hārak,a m
hāraka 2,hārak,a adj
haramāna 1,har,amāna prp
haramāna 2,har,amāna prp
haraṇa,haraṇ,aṃ nt
haraṇaka,haraṇak,a adj
haraṇī,haraṇ,ī f
haranta,har,anta prp
harāpesi,harāp,esi aor
harāpeti,harāp,eti pr
harāpetvā,ind,
harāpita,harāpit,a pp
harati 1,har,ati pr
harati 2,har,ati pr
harati 3,har,ati pr
harāyamāna,harāy,amāna prp
harāyati,harāy,ati pr
hārayati,hāray,ati pr
harāyi,harāy,i aor
harāyitvā,ind,
hare,,
hari,-,har aor
hārikā,hārik,ā f
hariṇa,hariṇ,a m
harissavaṇṇa,harissavaṇṇ,a adj
harita 1,harit,a adj
harita 2,harit,aṃ nt
haritabba,haritabb,a ptp
harītaka,harītak,aṃ nt
harītakī,harītak,ī f
haritāla,haritāl,aṃ nt
haritanta,haritant,a m
haritatta,haritatt,aṃ nt
haritattha,haritatth,aṃ nt
harittaca,harittac,a adj
haritu,harit,u3 m
harituṃ,ind,
haritvā,ind,
hāriya,hāriy,a adj
harīyati,harīy,ati pr
hasa,has,a m
hāsa 1,hās,a m
hāsa 2,hās,a m
